Fecha;Hora local;Latitud;Longitud;Magnitud Ms;Magnitud Mw;Profundidad [km];Efecto
1570-08-02;9:00;-36.800;-73.000;8.3;-;-;TD
1575-17-03;10:00;-33.400;-70.600;7.3;-;-;-
1575-16-12;14:30;-39.800;-73.200;8.5;-;-;TD
1604-24-11;12:30;-18.500;-70.400;8.5;-;30;TD
1615-16-09;23:30;-18.500;-70.350;8.8;-;-;TM
1647-13-05;22:30;-35.000;-72.000;8.5;-;-;-
1657-15-03;19:30;-36.830;-73.030;8.0;-;-;TD
1681-10-03;-;-18.500;-70.350;7.3;-;-;-
1687-12-07;2:00;-32.750;-70.730;7.3;-;-;-
1730-08-07;4:45;-33.050;-71.630;8.7;-;-;TD
1737-24-12;-;-39.800;-73.200;7.7;-;-;T
1751-25-05;1:00;-36.830;-73.030;8.5;-;-;TM
1796-30-03;6:45;-27.350;-70.350;7.7;-;-;-
1819-11-04;10:00;-27.350;-70.350;8.3;-;-;TD
1822-19-11;22:30;-33.050;-71.630;8.5;-;-;TM
1829-26-09;14:00;-33.050;-71.630;7.0;-;-;-
1831-08-10;6:00;-18.500;-71.000;7.8;-;-;-
1833-18-09;5:45;-18.500;-70.400;7.7;-;60;-
1835-20-02;11:30;-36.830;-73.030;8.5;-;-;TD
1837-07-11;8:00;-39.800;-73.200;8.0;-;-;TM
1847-08-10;11:30;-31.610;-71.180;7.3;-;-;-
1849-17-12;6:00;-29.950;-71.370;7.5;-;-;TM
1850-06-12;6:52;-33.810;-70.220;7.3;-;-;-
1851-02-04;6:48;-33.320;-71.420;7.1;-;-;-
1859-05-10;8:00;-27.350;-70.350;7.6;-;-;TM
1868-13-08;16:45;-18.500;-70.350;8.5;-;-;TD
1869-24-08;13:30;-19.600;-70.230;7.5;-;-;TM
1871-05-10;5:00;-20.200;-70.170;7.3;-;-;T
1877-09-05;21:16;-19.600;-70.230;8.5;-;-;TD
1878-23-01;8:00;-20;-70,3;7.9;-;40;-
1879-02-02;6:30;-53.000;-70.670;7.3;-;-;-
1880-15-08;8:48;-31.620;-71.180;7.7;-;-;-
